Name,Sport,Date,Start time,Duration,Total distance (km),Average heart rate (bpm),Average speed (km/h),Max speed (km/h),Average pace (min/km),Max pace (min/km),Calories,Fat percentage of calories(%),Average cadence (rpm),Average stride length (cm),Running index,Training load,Ascent (m),Descent (m),Average power (W),Max power (W),Notes,Height (cm),Weight (kg),HR max,HR sit,VO2max,
Anton Antonov ,BOOTCAMP,16-05-2025,18:04:33,00:46:30,,142,,,,,590,,,,,,,,,,"5 rounds back squat 1pause + 2 regular (100, 110, 115, 120, 120)
wod started at 18:34
50 box + 40 row + 30 PC @ 71kg",175.0,78.0,181,55,58,
Sample rate,Time,HR (bpm),Speed (km/h),Pace (min/km),Cadence,Altitude (m),Stride length (m),Distances (m),Temperatures (C),Power (W),
1,00:00:00,,,,,,,,,,
,00:00:01,,,,,,,,,,
,00:00:02,,,,,,,,,,
,00:00:03,109,,,,,,,,,
,00:00:04,110,,,,,,,,,
,00:00:05,111,,,,,,,,,
,00:00:06,111,,,,,,,,,
,00:00:07,109,,,,,,,,,
,00:00:08,109,,,,,,,,,
,00:00:09,109,,,,,,,,,
,00:00:10,108,,,,,,,,,
,00:00:11,108,,,,,,,,,
,00:00:12,110,,,,,,,,,
,00:00:13,110,,,,,,,,,
,00:00:14,110,,,,,,,,,
,00:00:15,110,,,,,,,,,
,00:00:16,108,,,,,,,,,
,00:00:17,108,,,,,,,,,
,00:00:18,108,,,,,,,,,
,00:00:19,108,,,,,,,,,
,00:00:20,108,,,,,,,,,
,00:00:21,109,,,,,,,,,
,00:00:22,109,,,,,,,,,
,00:00:23,113,,,,,,,,,
,00:00:24,114,,,,,,,,,
,00:00:25,114,,,,,,,,,
,00:00:26,115,,,,,,,,,
,00:00:27,115,,,,,,,,,
,00:00:28,114,,,,,,,,,
,00:00:29,114,,,,,,,,,
,00:00:30,115,,,,,,,,,
,00:00:31,115,,,,,,,,,
,00:00:32,115,,,,,,,,,
,00:00:33,103,,,,,,,,,
,00:00:34,87,,,,,,,,,
,00:00:35,86,,,,,,,,,
,00:00:36,86,,,,,,,,,
,00:00:37,86,,,,,,,,,
,00:00:38,86,,,,,,,,,
,00:00:39,89,,,,,,,,,
,00:00:40,90,,,,,,,,,
,00:00:41,90,,,,,,,,,
,00:00:42,90,,,,,,,,,
,00:00:43,93,,,,,,,,,
,00:00:44,93,,,,,,,,,
,00:00:45,99,,,,,,,,,
,00:00:46,101,,,,,,,,,
,00:00:47,103,,,,,,,,,
,00:00:48,104,,,,,,,,,
,00:00:49,106,,,,,,,,,
,00:00:50,106,,,,,,,,,
,00:00:51,111,,,,,,,,,
,00:00:52,112,,,,,,,,,
,00:00:53,112,,,,,,,,,
,00:00:54,111,,,,,,,,,
,00:00:55,111,,,,,,,,,
,00:00:56,109,,,,,,,,,
,00:00:57,108,,,,,,,,,
,00:00:58,108,,,,,,,,,
,00:00:59,108,,,,,,,,,
,00:01:00,108,,,,,,,,,
,00:01:01,109,,,,,,,,,
,00:01:02,110,,,,,,,,,
,00:01:03,111,,,,,,,,,
,00:01:04,111,,,,,,,,,
,00:01:05,113,,,,,,,,,
,00:01:06,114,,,,,,,,,
,00:01:07,115,,,,,,,,,
,00:01:08,115,,,,,,,,,
,00:01:09,116,,,,,,,,,
,00:01:10,116,,,,,,,,,
,00:01:11,116,,,,,,,,,
,00:01:12,115,,,,,,,,,
,00:01:13,115,,,,,,,,,
,00:01:14,115,,,,,,,,,
,00:01:15,116,,,,,,,,,
,00:01:16,116,,,,,,,,,
,00:01:17,116,,,,,,,,,
,00:01:18,116,,,,,,,,,
,00:01:19,118,,,,,,,,,
,00:01:20,118,,,,,,,,,
,00:01:21,118,,,,,,,,,
,00:01:22,118,,,,,,,,,
,00:01:23,115,,,,,,,,,
,00:01:24,115,,,,,,,,,
,00:01:25,115,,,,,,,,,
,00:01:26,115,,,,,,,,,
,00:01:27,115,,,,,,,,,
,00:01:28,115,,,,,,,,,
,00:01:29,116,,,,,,,,,
,00:01:30,117,,,,,,,,,
,00:01:31,117,,,,,,,,,
,00:01:32,117,,,,,,,,,
,00:01:33,119,,,,,,,,,
,00:01:34,120,,,,,,,,,
,00:01:35,120,,,,,,,,,
,00:01:36,121,,,,,,,,,
,00:01:37,121,,,,,,,,,
,00:01:38,123,,,,,,,,,
,00:01:39,123,,,,,,,,,
,00:01:40,125,,,,,,,,,
,00:01:41,125,,,,,,,,,
,00:01:42,126,,,,,,,,,
,00:01:43,126,,,,,,,,,
,00:01:44,127,,,,,,,,,
,00:01:45,127,,,,,,,,,
,00:01:46,127,,,,,,,,,
,00:01:47,126,,,,,,,,,
,00:01:48,125,,,,,,,,,
,00:01:49,125,,,,,,,,,
,00:01:50,125,,,,,,,,,
,00:01:51,125,,,,,,,,,
,00:01:52,123,,,,,,,,,
,00:01:53,123,,,,,,,,,
,00:01:54,121,,,,,,,,,
,00:01:55,121,,,,,,,,,
,00:01:56,120,,,,,,,,,
,00:01:57,120,,,,,,,,,
,00:01:58,120,,,,,,,,,
,00:01:59,120,,,,,,,,,
,00:02:00,122,,,,,,,,,
,00:02:01,123,,,,,,,,,
,00:02:02,123,,,,,,,,,
,00:02:03,123,,,,,,,,,
,00:02:04,125,,,,,,,,,
,00:02:05,125,,,,,,,,,
,00:02:06,113,,,,,,,,,
,00:02:07,111,,,,,,,,,
,00:02:08,111,,,,,,,,,
,00:02:09,112,,,,,,,,,
,00:02:10,112,,,,,,,,,
,00:02:11,115,,,,,,,,,
,00:02:12,115,,,,,,,,,
,00:02:13,118,,,,,,,,,
,00:02:14,118,,,,,,,,,
,00:02:15,121,,,,,,,,,
,00:02:16,121,,,,,,,,,
,00:02:17,122,,,,,,,,,
,00:02:18,122,,,,,,,,,
,00:02:19,123,,,,,,,,,
,00:02:20,122,,,,,,,,,
,00:02:21,122,,,,,,,,,
,00:02:22,122,,,,,,,,,
,00:02:23,123,,,,,,,,,
,00:02:24,123,,,,,,,,,
,00:02:25,122,,,,,,,,,
,00:02:26,122,,,,,,,,,
,00:02:27,122,,,,,,,,,
,00:02:28,123,,,,,,,,,
,00:02:29,123,,,,,,,,,
,00:02:30,124,,,,,,,,,
,00:02:31,124,,,,,,,,,
,00:02:32,125,,,,,,,,,
,00:02:33,125,,,,,,,,,
,00:02:34,124,,,,,,,,,
,00:02:35,124,,,,,,,,,
,00:02:36,124,,,,,,,,,
