Name,Sport,Date,Start time,Duration,Total distance (km),Average heart rate (bpm),Average speed (km/h),Max speed (km/h),Average pace (min/km),Max pace (min/km),Calories,Fat percentage of calories(%),Average cadence (rpm),Average stride length (cm),Running index,Training load,Ascent (m),Descent (m),Average power (W),Max power (W),Notes,Height (cm),Weight (kg),HR max,HR sit,VO2max,
Anton Antonov ,BOOTCAMP,20-06-2025,17:25:41,00:30:36,,142,,,,,343,,,,,,,,,,"max back squats at 165lbs
max pull up
10 db strict push press
rest 2 minutes

12 by 12 all 5 rounds",175.0,78.0,188,55,58,
Sample rate,Time,HR (bpm),Speed (km/h),Pace (min/km),Cadence,Altitude (m),Stride length (m),Distances (m),Temperatures (C),Power (W),
1,00:00:00,,,,,,,,,,
,00:00:01,,,,,,,,,,
,00:00:02,102,,,,,,,,,
,00:00:03,104,,,,,,,,,
,00:00:04,104,,,,,,,,,
,00:00:05,106,,,,,,,,,
,00:00:06,106,,,,,,,,,
,00:00:07,104,,,,,,,,,
,00:00:08,102,,,,,,,,,
,00:00:09,102,,,,,,,,,
,00:00:10,102,,,,,,,,,
,00:00:11,106,,,,,,,,,
,00:00:12,107,,,,,,,,,
,00:00:13,107,,,,,,,,,
,00:00:14,107,,,,,,,,,
,00:00:15,105,,,,,,,,,
,00:00:16,105,,,,,,,,,
,00:00:17,105,,,,,,,,,
,00:00:18,104,,,,,,,,,
,00:00:19,104,,,,,,,,,
,00:00:20,105,,,,,,,,,
,00:00:21,105,,,,,,,,,
,00:00:22,105,,,,,,,,,
,00:00:23,105,,,,,,,,,
,00:00:24,98,,,,,,,,,
,00:00:25,98,,,,,,,,,
,00:00:26,96,,,,,,,,,
,00:00:27,96,,,,,,,,,
,00:00:28,97,,,,,,,,,
,00:00:29,99,,,,,,,,,
,00:00:30,99,,,,,,,,,
,00:00:31,99,,,,,,,,,
,00:00:32,100,,,,,,,,,
,00:00:33,100,,,,,,,,,
,00:00:34,101,,,,,,,,,
,00:00:35,101,,,,,,,,,
,00:00:36,103,,,,,,,,,
,00:00:37,105,,,,,,,,,
,00:00:38,105,,,,,,,,,
,00:00:39,107,,,,,,,,,
,00:00:40,107,,,,,,,,,
,00:00:41,105,,,,,,,,,
,00:00:42,104,,,,,,,,,
,00:00:43,104,,,,,,,,,
,00:00:44,107,,,,,,,,,
,00:00:45,109,,,,,,,,,
,00:00:46,109,,,,,,,,,
,00:00:47,110,,,,,,,,,
,00:00:48,108,,,,,,,,,
,00:00:49,108,,,,,,,,,
,00:00:50,105,,,,,,,,,
,00:00:51,104,,,,,,,,,
,00:00:52,104,,,,,,,,,
,00:00:53,104,,,,,,,,,
,00:00:54,104,,,,,,,,,
,00:00:55,106,,,,,,,,,
,00:00:56,106,,,,,,,,,
,00:00:57,107,,,,,,,,,
,00:00:58,108,,,,,,,,,
,00:00:59,109,,,,,,,,,
,00:01:00,109,,,,,,,,,
,00:01:01,108,,,,,,,,,
,00:01:02,108,,,,,,,,,
,00:01:03,108,,,,,,,,,
,00:01:04,111,,,,,,,,,
,00:01:05,113,,,,,,,,,
,00:01:06,113,,,,,,,,,
,00:01:07,112,,,,,,,,,
,00:01:08,112,,,,,,,,,
,00:01:09,111,,,,,,,,,
,00:01:10,111,,,,,,,,,
,00:01:11,115,,,,,,,,,
,00:01:12,118,,,,,,,,,
,00:01:13,124,,,,,,,,,
,00:01:14,124,,,,,,,,,
,00:01:15,125,,,,,,,,,
,00:01:16,127,,,,,,,,,
,00:01:17,129,,,,,,,,,
,00:01:18,130,,,,,,,,,
,00:01:19,130,,,,,,,,,
,00:01:20,132,,,,,,,,,
,00:01:21,132,,,,,,,,,
,00:01:22,134,,,,,,,,,
,00:01:23,136,,,,,,,,,
,00:01:24,136,,,,,,,,,
,00:01:25,137,,,,,,,,,
,00:01:26,138,,,,,,,,,
,00:01:27,138,,,,,,,,,
,00:01:28,139,,,,,,,,,
,00:01:29,140,,,,,,,,,
,00:01:30,140,,,,,,,,,
,00:01:31,141,,,,,,,,,
,00:01:32,141,,,,,,,,,
,00:01:33,142,,,,,,,,,
,00:01:34,144,,,,,,,,,
,00:01:35,145,,,,,,,,,
,00:01:36,145,,,,,,,,,
,00:01:37,146,,,,,,,,,
,00:01:38,146,,,,,,,,,
,00:01:39,147,,,,,,,,,
,00:01:40,147,,,,,,,,,
,00:01:41,148,,,,,,,,,
,00:01:42,149,,,,,,,,,
,00:01:43,149,,,,,,,,,
,00:01:44,149,,,,,,,,,
,00:01:45,150,,,,,,,,,
,00:01:46,150,,,,,,,,,
,00:01:47,151,,,,,,,,,
,00:01:48,152,,,,,,,,,
,00:01:49,152,,,,,,,,,
,00:01:50,152,,,,,,,,,
,00:01:51,152,,,,,,,,,
,00:01:52,153,,,,,,,,,
,00:01:53,153,,,,,,,,,
,00:01:54,153,,,,,,,,,
,00:01:55,153,,,,,,,,,
,00:01:56,152,,,,,,,,,
,00:01:57,152,,,,,,,,,
,00:01:58,152,,,,,,,,,
,00:01:59,151,,,,,,,,,
,00:02:00,151,,,,,,,,,
,00:02:01,149,,,,,,,,,
,00:02:02,149,,,,,,,,,
,00:02:03,149,,,,,,,,,
,00:02:04,148,,,,,,,,,
,00:02:05,149,,,,,,,,,
,00:02:06,149,,,,,,,,,
,00:02:07,149,,,,,,,,,
,00:02:08,149,,,,,,,,,
,00:02:09,149,,,,,,,,,
,00:02:10,151,,,,,,,,,
,00:02:11,151,,,,,,,,,
,00:02:12,152,,,,,,,,,
,00:02:13,152,,,,,,,,,
,00:02:14,155,,,,,,,,,
,00:02:15,155,,,,,,,,,
,00:02:16,164,,,,,,,,,
,00:02:17,164,,,,,,,,,
,00:02:18,160,,,,,,,,,
,00:02:19,157,,,,,,,,,
,00:02:20,157,,,,,,,,,
,00:02:21,157,,,,,,,,,
,00:02:22,158,,,,,,,,,
,00:02:23,158,,,,,,,,,
,00:02:24,158,,,,,,,,,
,00:02:25,158,,,,,,,,,
,00:02:26,160,,,,,,,,,
,00:02:27,160,,,,,,,,,
,00:02:28,160,,,,,,,,,
,00:02:29,161,,,,,,,,,
,00:02:30,161,,,,,,,,,
,00:02:31,162,,,,,,,,,
,00:02:32,162,,,,,,,,,
,00:02:33,162,,,,,,,,,
,00:02:34,163,,,,,,,,,
,00:02:35,163,,,,,,,,,
,00:02:36,163,,,,,,,,,
,00:02:37,164,,,,,,,,,
,00:02:38,164,,,,,,,,,
,00:02:39,164,,,,,,,,,
,00:02:40,164,,,,,,,,,
,00:02:41,164,,,,,,,,,
,00:02:42,165,,,,,,,,,
,00:02:43,165,,,,,,,,,
,00:02:44,165,,,,,,,,,
,00:02:45,165,,,,,,,,,
,00:02:46,164,,,,,,,,,
,00:02:47,164,,,,,,,,,
,00:02:48,164,,,,,,,,,
,00:02:49,164,,,,,,,,,
,00:02:50,164,,,,,,,,,
,00:02:51,164,,,,,,,,,
,00:02:52,164,,,,,,,,,
,00:02:53,164,,,,,,,,,
,00:02:54,164,,,,,,,,,
,00:02:55,164,,,,,,,,,
,00:02:56,164,,,,,,,,,
,00:02:57,163,,,,,,,,,
,00:02:58,163,,,,,,,,,
,00:02:59,163,,,,,,,,,
,00:03:00,161,,,,,,,,,
,00:03:01,161,,,,,,,,,
,00:03:02,159,,,,,,,,,
,00:03:03,159,,,,,,,,,
,00:03:04,156,,,,,,,,,
,00:03:05,155,,,,,,,,,
,00:03:06,154,,,,,,,,,
,00:03:07,154,,,,,,,,,
,00:03:08,153,,,,,,,,,
,00:03:09,153,,,,,,,,,
,00:03:10,152,,,,,,,,,
,00:03:11,152,,,,,,,,,
,00:03:12,153,,,,,,,,,
,00:03:13,152,,,,,,,,,
,00:03:14,152,,,,,,,,,
,00:03:15,151,,,,,,,,,
,00:03:16,150,,,,,,,,,
,00:03:17,150,,,,,,,,,
,00:03:18,150,,,,,,,,,
,00:03:19,151,,,,,,,,,
,00:03:20,151,,,,,,,,,
,00:03:21,151,,,,,,,,,
,00:03:22,151,,,,,,,,,
,00:03:23,152,,,,,,,,,
,00:03:24,153,,,,,,,,,
,00:03:25,153,,,,,,,,,
,00:03:26,153,,,,,,,,,
,00:03:27,153,,,,,,,,,
,00:03:28,153,,,,,,,,,
,00:03:29,152,,,,,,,,,
,00:03:30,151,,,,,,,,,
,00:03:31,151,,,,,,,,,
,00:03:32,150,,,,,,,,,
,00:03:33,149,,,,,,,,,
,00:03:34,149,,,,,,,,,
,00:03:35,148,,,,,,,,,
,00:03:36,148,,,,,,,,,
,00:03:37,148,,,,,,,,,
,00:03:38,147,,,,,,,,,
,00:03:39,147,,,,,,,,,
,00:03:40,145,,,,,,,,,
,00:03:41,145,,,,,,,,,
,00:03:42,143,,,,,,,,,
,00:03:43,141,,,,,,,,,
,00:03:44,141,,,,,,,,,
,00:03:45,141,,,,,,,,,
,00:03:46,141,,,,,,,,,
,00:03:47,141,,,,,,,,,
,00:03:48,141,,,,,,,,,
,00:03:49,138,,,,,,,,,
,00:03:50,138,,,,,,,,,
,00:03:51,138,,,,,,,,,
,00:03:52,137,,,,,,,,,
,00:03:53,136,,,,,,,,,
,00:03:54,136,,,,,,,,,
,00:03:55,134,,,,,,,,,
,00:03:56,134,,,,,,,,,
,00:03:57,133,,,,,,,,,
,00:03:58,132,,,,,,,,,
,00:03:59,132,,,,,,,,,
,00:04:00,131,,,,,,,,,
,00:04:01,129,,,,,,,,,
,00:04:02,128,,,,,,,,,
,00:04:03,128,,,,,,,,,
,00:04:04,128,,,,,,,,,
,00:04:05,128,,,,,,,,,
,00:04:06,127,,,,,,,,,
,00:04:07,127,,,,,,,,,
,00:04:08,125,,,,,,,,,
,00:04:09,125,,,,,,,,,
,00:04:10,126,,,,,,,,,
,00:04:11,125,,,,,,,,,
,00:04:12,125,,,,,,,,,
,00:04:13,123,,,,,,,,,
,00:04:14,123,,,,,,,,,
,00:04:15,123,,,,,,,,,
,00:04:16,122,,,,,,,,,
,00:04:17,122,,,,,,,,,
,00:04:18,122,,,,,,,,,
,00:04:19,120,,,,,,,,,
,00:04:20,119,,,,,,,,,
,00:04:21,119,,,,,,,,,
,00:04:22,119,,,,,,,,,
,00:04:23,119,,,,,,,,,
,00:04:24,119,,,,,,,,,
,00:04:25,117,,,,,,,,,
,00:04:26,117,,,,,,,,,
,00:04:27,117,,,,,,,,,
,00:04:28,119,,,,,,,,,
,00:04:29,119,,,,,,,,,
,00:04:30,119,,,,,,,,,
,00:04:31,119,,,,,,,,,
,00:04:32,116,,,,,,,,,
,00:04:33,117,,,,,,,,,
,00:04:34,117,,,,,,,,,
,00:04:35,117,,,,,,,,,
,00:04:36,116,,,,,,,,,
,00:04:37,116,,,,,,,,,
,00:04:38,116,,,,,,,,,
,00:04:39,115,,,,,,,,,
,00:04:40,115,,,,,,,,,
,00:04:41,115,,,,,,,,,
,00:04:42,115,,,,,,,,,
,00:04:43,115,,,,,,,,,
,00:04:44,114,,,,,,,,,
,00:04:45,114,,,,,,,,,
,00:04:46,114,,,,,,,,,
,00:04:47,110,,,,,,,,,
,00:04:48,110,,,,,,,,,
,00:04:49,109,,,,,,,,,
,00:04:50,109,,,,,,,,,
,00:04:51,109,,,,,,,,,
,00:04:52,111,,,,,,,,,
,00:04:53,111,,,,,,,,,
,00:04:54,110,,,,,,,,,
,00:04:55,110,,,,,,,,,
,00:04:56,109,,,,,,,,,
,00:04:57,109,,,,,,,,,
,00:04:58,109,,,,,,,,,
,00:04:59,111,,,,,,,,,
,00:05:00,111,,,,,,,,,
,00:05:01,113,,,,,,,,,
,00:05:02,113,,,,,,,,,
,00:05:03,113,,,,,,,,,
,00:05:04,113,,,,,,,,,
,00:05:05,113,,,,,,,,,
,00:05:06,112,,,,,,,,,
,00:05:07,110,,,,,,,,,
,00:05:08,110,,,,,,,,,
,00:05:09,112,,,,,,,,,
,00:05:10,113,,,,,,,,,
,00:05:11,113,,,,,,,,,
,00:05:12,113,,,,,,,,,
,00:05:13,114,,,,,,,,,
,00:05:14,114,,,,,,,,,
,00:05:15,115,,,,,,,,,
,00:05:16,115,,,,,,,,,
,00:05:17,115,,,,,,,,,
,00:05:18,114,,,,,,,,,
,00:05:19,114,,,,,,,,,
,00:05:20,117,,,,,,,,,
,00:05:21,117,,,,,,,,,
,00:05:22,117,,,,,,,,,
,00:05:23,117,,,,,,,,,
,00:05:24,117,,,,,,,,,
,00:05:25,116,,,,,,,,,
,00:05:26,116,,,,,,,,,
,00:05:27,116,,,,,,,,,
,00:05:28,115,,,,,,,,,
,00:05:29,115,,,,,,,,,
,00:05:30,118,,,,,,,,,
,00:05:31,118,,,,,,,,,
,00:05:32,118,,,,,,,,,
,00:05:33,116,,,,,,,,,
,00:05:34,114,,,,,,,,,
,00:05:35,114,,,,,,,,,
,00:05:36,112,,,,,,,,,
,00:05:37,112,,,,,,,,,
,00:05:38,112,,,,,,,,,
,00:05:39,112,,,,,,,,,
,00:05:40,114,,,,,,,,,
,00:05:41,114,,,,,,,,,
,00:05:42,114,,,,,,,,,
,00:05:43,114,,,,,,,,,
,00:05:44,114,,,,,,,,,
,00:05:45,111,,,,,,,,,
,00:05:46,111,,,,,,,,,
,00:05:47,112,,,,,,,,,
,00:05:48,112,,,,,,,,,
,00:05:49,113,,,,,,,,,
,00:05:50,113,,,,,,,,,
,00:05:51,110,,,,,,,,,
,00:05:52,110,,,,,,,,,
,00:05:53,110,,,,,,,,,
,00:05:54,111,,,,,,,,,
,00:05:55,111,,,,,,,,,
,00:05:56,113,,,,,,,,,
,00:05:57,113,,,,,,,,,
,00:05:58,111,,,,,,,,,
,00:05:59,111,,,,,,,,,
,00:06:00,110,,,,,,,,,
,00:06:01,109,,,,,,,,,
,00:06:02,110,,,,,,,,,
,00:06:03,110,,,,,,,,,
,00:06:04,111,,,,,,,,,
,00:06:05,111,,,,,,,,,
,00:06:06,117,,,,,,,,,
,00:06:07,121,,,,,,,,,
,00:06:08,121,,,,,,,,,
,00:06:09,125,,,,,,,,,
,00:06:10,125,,,,,,,,,
,00:06:11,125,,,,,,,,,
,00:06:12,130,,,,,,,,,
,00:06:13,133,,,,,,,,,
,00:06:14,133,,,,,,,,,
,00:06:15,135,,,,,,,,,
,00:06:16,135,,,,,,,,,
,00:06:17,138,,,,,,,,,
,00:06:18,139,,,,,,,,,
,00:06:19,139,,,,,,,,,
,00:06:20,141,,,,,,,,,
,00:06:21,141,,,,,,,,,
,00:06:22,145,,,,,,,,,
,00:06:23,145,,,,,,,,,
,00:06:24,145,,,,,,,,,
,00:06:25,147,,,,,,,,,
,00:06:26,148,,,,,,,,,
,00:06:27,148,,,,,,,,,
,00:06:28,150,,,,,,,,,
,00:06:29,150,,,,,,,,,
,00:06:30,151,,,,,,,,,
,00:06:31,152,,,,,,,,,
,00:06:32,152,,,,,,,,,
,00:06:33,153,,,,,,,,,
,00:06:34,153,,,,,,,,,
,00:06:35,153,,,,,,,,,
,00:06:36,154,,,,,,,,,
,00:06:37,154,,,,,,,,,
,00:06:38,155,,,,,,,,,
,00:06:39,155,,,,,,,,,
,00:06:40,156,,,,,,,,,
,00:06:41,156,,,,,,,,,
,00:06:42,157,,,,,,,,,
,00:06:43,157,,,,,,,,,
,00:06:44,158,,,,,,,,,
,00:06:45,158,,,,,,,,,
