Name,Sport,Date,Start time,Duration,Total distance (km),Average heart rate (bpm),Average speed (km/h),Max speed (km/h),Average pace (min/km),Max pace (min/km),Calories,Fat percentage of calories(%),Average cadence (rpm),Average stride length (cm),Running index,Training load,Ascent (m),Descent (m),Average power (W),Max power (W),Notes,Height (cm),Weight (kg),HR max,HR sit,VO2max,
Anton Antonov ,BOOTCAMP,24-07-2025,10:38:45,00:09:50,,123,,,,,100,,,,,,,,,,"4 rounds (12 min emom)
20 sec Chinese hold
50 sec sand bag hold @ 68kg
50 sec kb @ 28kg bench row",175.0,78.0,188,55,58,
Sample rate,Time,HR (bpm),Speed (km/h),Pace (min/km),Cadence,Altitude (m),Stride length (m),Distances (m),Temperatures (C),Power (W),
1,00:00:00,115,,,,,,,,,
,00:00:01,115,,,,,,,,,
,00:00:02,115,,,,,,,,,
,00:00:03,114,,,,,,,,,
,00:00:04,114,,,,,,,,,
,00:00:05,114,,,,,,,,,
,00:00:06,112,,,,,,,,,
,00:00:07,112,,,,,,,,,
,00:00:08,111,,,,,,,,,
,00:00:09,111,,,,,,,,,
,00:00:10,111,,,,,,,,,
,00:00:11,109,,,,,,,,,
,00:00:12,109,,,,,,,,,
,00:00:13,104,,,,,,,,,
,00:00:14,103,,,,,,,,,
,00:00:15,103,,,,,,,,,
,00:00:16,104,,,,,,,,,
,00:00:17,107,,,,,,,,,
,00:00:18,107,,,,,,,,,
,00:00:19,109,,,,,,,,,
,00:00:20,110,,,,,,,,,
,00:00:21,110,,,,,,,,,
,00:00:22,110,,,,,,,,,
,00:00:23,109,,,,,,,,,
,00:00:24,109,,,,,,,,,
,00:00:25,109,,,,,,,,,
,00:00:26,108,,,,,,,,,
,00:00:27,108,,,,,,,,,
,00:00:28,107,,,,,,,,,
,00:00:29,107,,,,,,,,,
,00:00:30,106,,,,,,,,,
,00:00:31,106,,,,,,,,,
,00:00:32,106,,,,,,,,,
,00:00:33,106,,,,,,,,,
,00:00:34,106,,,,,,,,,
,00:00:35,107,,,,,,,,,
,00:00:36,107,,,,,,,,,
,00:00:37,109,,,,,,,,,
,00:00:38,109,,,,,,,,,
,00:00:39,112,,,,,,,,,
,00:00:40,112,,,,,,,,,
,00:00:41,116,,,,,,,,,
,00:00:42,116,,,,,,,,,
,00:00:43,119,,,,,,,,,
,00:00:44,122,,,,,,,,,
,00:00:45,122,,,,,,,,,
,00:00:46,121,,,,,,,,,
,00:00:47,121,,,,,,,,,
,00:00:48,121,,,,,,,,,
,00:00:49,120,,,,,,,,,
,00:00:50,120,,,,,,,,,
,00:00:51,120,,,,,,,,,
,00:00:52,118,,,,,,,,,
,00:00:53,115,,,,,,,,,
,00:00:54,114,,,,,,,,,
,00:00:55,114,,,,,,,,,
,00:00:56,115,,,,,,,,,
,00:00:57,115,,,,,,,,,
,00:00:58,117,,,,,,,,,
,00:00:59,117,,,,,,,,,
,00:01:00,117,,,,,,,,,
,00:01:01,117,,,,,,,,,
,00:01:02,117,,,,,,,,,
,00:01:03,116,,,,,,,,,
,00:01:04,116,,,,,,,,,
,00:01:05,116,,,,,,,,,
,00:01:06,116,,,,,,,,,
,00:01:07,117,,,,,,,,,
,00:01:08,117,,,,,,,,,
,00:01:09,117,,,,,,,,,
,00:01:10,118,,,,,,,,,
,00:01:11,118,,,,,,,,,
,00:01:12,118,,,,,,,,,
,00:01:13,118,,,,,,,,,
,00:01:14,119,,,,,,,,,
,00:01:15,119,,,,,,,,,
,00:01:16,119,,,,,,,,,
,00:01:17,120,,,,,,,,,
,00:01:18,120,,,,,,,,,
,00:01:19,122,,,,,,,,,
,00:01:20,123,,,,,,,,,
,00:01:21,123,,,,,,,,,
,00:01:22,122,,,,,,,,,
,00:01:23,122,,,,,,,,,
,00:01:24,122,,,,,,,,,
,00:01:25,121,,,,,,,,,
,00:01:26,121,,,,,,,,,
,00:01:27,121,,,,,,,,,
,00:01:28,120,,,,,,,,,
,00:01:29,120,,,,,,,,,
,00:01:30,121,,,,,,,,,
,00:01:31,121,,,,,,,,,
,00:01:32,121,,,,,,,,,
,00:01:33,121,,,,,,,,,
,00:01:34,120,,,,,,,,,
,00:01:35,120,,,,,,,,,
,00:01:36,119,,,,,,,,,
,00:01:37,119,,,,,,,,,
,00:01:38,117,,,,,,,,,
,00:01:39,115,,,,,,,,,
,00:01:40,115,,,,,,,,,
,00:01:41,113,,,,,,,,,
,00:01:42,114,,,,,,,,,
,00:01:43,114,,,,,,,,,
,00:01:44,116,,,,,,,,,
,00:01:45,119,,,,,,,,,
,00:01:46,119,,,,,,,,,
,00:01:47,119,,,,,,,,,
,00:01:48,119,,,,,,,,,
,00:01:49,120,,,,,,,,,
,00:01:50,120,,,,,,,,,
,00:01:51,120,,,,,,,,,
,00:01:52,119,,,,,,,,,
,00:01:53,119,,,,,,,,,
,00:01:54,117,,,,,,,,,
,00:01:55,117,,,,,,,,,
,00:01:56,117,,,,,,,,,
,00:01:57,117,,,,,,,,,
,00:01:58,119,,,,,,,,,
,00:01:59,119,,,,,,,,,
,00:02:00,119,,,,,,,,,
,00:02:01,118,,,,,,,,,
,00:02:02,118,,,,,,,,,
,00:02:03,118,,,,,,,,,
,00:02:04,118,,,,,,,,,
,00:02:05,118,,,,,,,,,
,00:02:06,117,,,,,,,,,
,00:02:07,117,,,,,,,,,
,00:02:08,117,,,,,,,,,
,00:02:09,114,,,,,,,,,
,00:02:10,114,,,,,,,,,
,00:02:11,114,,,,,,,,,
,00:02:12,115,,,,,,,,,
,00:02:13,115,,,,,,,,,
,00:02:14,116,,,,,,,,,
,00:02:15,116,,,,,,,,,
,00:02:16,118,,,,,,,,,
,00:02:17,118,,,,,,,,,
,00:02:18,119,,,,,,,,,
,00:02:19,119,,,,,,,,,
,00:02:20,120,,,,,,,,,
,00:02:21,120,,,,,,,,,
,00:02:22,121,,,,,,,,,
,00:02:23,122,,,,,,,,,
,00:02:24,122,,,,,,,,,
,00:02:25,122,,,,,,,,,
,00:02:26,123,,,,,,,,,
,00:02:27,123,,,,,,,,,
,00:02:28,123,,,,,,,,,
,00:02:29,123,,,,,,,,,
,00:02:30,123,,,,,,,,,
,00:02:31,124,,,,,,,,,
,00:02:32,123,,,,,,,,,
,00:02:33,123,,,,,,,,,
,00:02:34,122,,,,,,,,,
,00:02:35,122,,,,,,,,,
,00:02:36,123,,,,,,,,,
,00:02:37,123,,,,,,,,,
,00:02:38,124,,,,,,,,,
,00:02:39,124,,,,,,,,,
,00:02:40,124,,,,,,,,,
,00:02:41,124,,,,,,,,,
,00:02:42,124,,,,,,,,,
,00:02:43,124,,,,,,,,,
,00:02:44,124,,,,,,,,,
,00:02:45,124,,,,,,,,,
,00:02:46,124,,,,,,,,,
,00:02:47,126,,,,,,,,,
,00:02:48,126,,,,,,,,,
,00:02:49,126,,,,,,,,,
,00:02:50,130,,,,,,,,,
,00:02:51,130,,,,,,,,,
,00:02:52,130,,,,,,,,,
,00:02:53,131,,,,,,,,,
,00:02:54,132,,,,,,,,,
,00:02:55,132,,,,,,,,,
,00:02:56,133,,,,,,,,,
,00:02:57,132,,,,,,,,,
,00:02:58,132,,,,,,,,,
,00:02:59,130,,,,,,,,,
,00:03:00,128,,,,,,,,,
,00:03:01,128,,,,,,,,,
,00:03:02,125,,,,,,,,,
,00:03:03,125,,,,,,,,,
,00:03:04,123,,,,,,,,,
,00:03:05,121,,,,,,,,,
,00:03:06,121,,,,,,,,,
,00:03:07,119,,,,,,,,,
,00:03:08,119,,,,,,,,,
,00:03:09,119,,,,,,,,,
,00:03:10,120,,,,,,,,,
,00:03:11,120,,,,,,,,,
,00:03:12,119,,,,,,,,,
,00:03:13,119,,,,,,,,,
,00:03:14,116,,,,,,,,,
,00:03:15,116,,,,,,,,,
,00:03:16,115,,,,,,,,,
,00:03:17,115,,,,,,,,,
,00:03:18,115,,,,,,,,,
,00:03:19,115,,,,,,,,,
,00:03:20,114,,,,,,,,,
,00:03:21,114,,,,,,,,,
,00:03:22,114,,,,,,,,,
,00:03:23,114,,,,,,,,,
,00:03:24,113,,,,,,,,,
,00:03:25,113,,,,,,,,,
,00:03:26,115,,,,,,,,,
,00:03:27,116,,,,,,,,,
,00:03:28,116,,,,,,,,,
,00:03:29,117,,,,,,,,,
,00:03:30,118,,,,,,,,,
,00:03:31,118,,,,,,,,,
,00:03:32,116,,,,,,,,,
,00:03:33,116,,,,,,,,,
,00:03:34,116,,,,,,,,,
,00:03:35,115,,,,,,,,,
,00:03:36,115,,,,,,,,,
,00:03:37,114,,,,,,,,,
,00:03:38,114,,,,,,,,,
,00:03:39,114,,,,,,,,,
,00:03:40,114,,,,,,,,,
,00:03:41,114,,,,,,,,,
,00:03:42,114,,,,,,,,,
,00:03:43,114,,,,,,,,,
,00:03:44,114,,,,,,,,,
,00:03:45,116,,,,,,,,,
,00:03:46,116,,,,,,,,,
,00:03:47,116,,,,,,,,,
,00:03:48,121,,,,,,,,,
,00:03:49,121,,,,,,,,,
,00:03:50,121,,,,,,,,,
,00:03:51,122,,,,,,,,,
,00:03:52,122,,,,,,,,,
,00:03:53,122,,,,,,,,,
,00:03:54,123,,,,,,,,,
,00:03:55,123,,,,,,,,,
,00:03:56,124,,,,,,,,,
,00:03:57,124,,,,,,,,,
,00:03:58,124,,,,,,,,,
,00:03:59,125,,,,,,,,,
,00:04:00,125,,,,,,,,,
,00:04:01,125,,,,,,,,,
,00:04:02,125,,,,,,,,,
,00:04:03,127,,,,,,,,,
,00:04:04,127,,,,,,,,,
,00:04:05,127,,,,,,,,,
,00:04:06,127,,,,,,,,,
,00:04:07,128,,,,,,,,,
,00:04:08,128,,,,,,,,,
,00:04:09,128,,,,,,,,,
,00:04:10,129,,,,,,,,,
,00:04:11,129,,,,,,,,,
,00:04:12,129,,,,,,,,,
,00:04:13,130,,,,,,,,,
,00:04:14,130,,,,,,,,,
,00:04:15,130,,,,,,,,,
,00:04:16,131,,,,,,,,,
,00:04:17,131,,,,,,,,,
,00:04:18,131,,,,,,,,,
,00:04:19,131,,,,,,,,,
,00:04:20,131,,,,,,,,,
,00:04:21,131,,,,,,,,,
,00:04:22,131,,,,,,,,,
,00:04:23,131,,,,,,,,,
,00:04:24,131,,,,,,,,,
,00:04:25,131,,,,,,,,,
,00:04:26,132,,,,,,,,,
,00:04:27,132,,,,,,,,,
,00:04:28,132,,,,,,,,,
