Name,Sport,Date,Start time,Duration,Total distance (km),Average heart rate (bpm),Average speed (km/h),Max speed (km/h),Average pace (min/km),Max pace (min/km),Calories,Fat percentage of calories(%),Average cadence (rpm),Average stride length (cm),Running index,Training load,Ascent (m),Descent (m),Average power (W),Max power (W),Notes,Height (cm),Weight (kg),HR max,HR sit,VO2max,
Anton Antonov  ,BOOTCAMP,18-11-2025,10:23:01,0:24:05,0.00,154,,,,,314,,,,,,,,,,"5000m row
time: 19:31 min
341 cals
pace: 1010-1050 cals/hour",None,None,182,,,
Sample rate,Time,HR (bpm),Speed (km/h),Pace (min/km),Cadence,Altitude (m),Stride length (m),Distances (m),Temperatures (C),Power (W),
1,00:00:01,72,,,,,,,,,
,00:00:02,73,,,,,,,,,
,00:00:03,74,,,,,,,,,
,00:00:04,75,,,,,,,,,
,00:00:05,75,,,,,,,,,
,00:00:06,75,,,,,,,,,
,00:00:07,75,,,,,,,,,
,00:00:08,75,,,,,,,,,
,00:00:09,74,,,,,,,,,
,00:00:10,74,,,,,,,,,
,00:00:11,74,,,,,,,,,
,00:00:12,74,,,,,,,,,
,00:00:13,78,,,,,,,,,
,00:00:14,80,,,,,,,,,
,00:00:15,84,,,,,,,,,
,00:00:16,85,,,,,,,,,
,00:00:17,86,,,,,,,,,
,00:00:18,86,,,,,,,,,
,00:00:19,87,,,,,,,,,
,00:00:20,88,,,,,,,,,
,00:00:21,89,,,,,,,,,
,00:00:22,90,,,,,,,,,
,00:00:23,92,,,,,,,,,
,00:00:24,92,,,,,,,,,
,00:00:25,91,,,,,,,,,
,00:00:26,90,,,,,,,,,
,00:00:27,88,,,,,,,,,
,00:00:28,87,,,,,,,,,
,00:00:29,85,,,,,,,,,
,00:00:30,85,,,,,,,,,
,00:00:31,84,,,,,,,,,
,00:00:32,85,,,,,,,,,
,00:00:33,85,,,,,,,,,
,00:00:34,85,,,,,,,,,
,00:00:35,84,,,,,,,,,
,00:00:36,83,,,,,,,,,
,00:00:37,84,,,,,,,,,
,00:00:38,84,,,,,,,,,
,00:00:39,85,,,,,,,,,
,00:00:40,86,,,,,,,,,
,00:00:41,87,,,,,,,,,
,00:00:42,89,,,,,,,,,
,00:00:43,90,,,,,,,,,
,00:00:44,91,,,,,,,,,
,00:00:45,92,,,,,,,,,
,00:00:46,92,,,,,,,,,
,00:00:47,92,,,,,,,,,
,00:00:48,92,,,,,,,,,
,00:00:49,92,,,,,,,,,
,00:00:50,92,,,,,,,,,
,00:00:51,91,,,,,,,,,
,00:00:52,91,,,,,,,,,
,00:00:53,90,,,,,,,,,
,00:00:54,88,,,,,,,,,
,00:00:55,88,,,,,,,,,
,00:00:56,87,,,,,,,,,
,00:00:57,86,,,,,,,,,
,00:00:58,86,,,,,,,,,
,00:00:59,85,,,,,,,,,
