Name,Sport,Date,Start time,Duration,Total distance (km),Average heart rate (bpm),Average speed (km/h),Max speed (km/h),Average pace (min/km),Max pace (min/km),Calories,Fat percentage of calories(%),Average cadence (rpm),Average stride length (cm),Running index,Training load,Ascent (m),Descent (m),Average power (W),Max power (W),Notes,Height (cm),Weight (kg),HR max,HR sit,VO2max,
Anton Antonov  ,BOOTCAMP,26-11-2025,10:29:57,0:09:22,0.00,114,,,,,69,,,,,,,,,,"30 sec Bulgarian split squats @ 22.5kg single db
30 sec rest 
30 sec turkish sit-ups @ 20kg plate
30 sec rest 

4 rounds",None,None,134,,,
Sample rate,Time,HR (bpm),Speed (km/h),Pace (min/km),Cadence,Altitude (m),Stride length (m),Distances (m),Temperatures (C),Power (W),
1,00:00:01,78,,,,,,,,,
,00:00:02,78,,,,,,,,,
,00:00:03,79,,,,,,,,,
,00:00:04,79,,,,,,,,,
,00:00:05,82,,,,,,,,,
,00:00:06,84,,,,,,,,,
,00:00:07,86,,,,,,,,,
,00:00:08,88,,,,,,,,,
,00:00:09,89,,,,,,,,,
,00:00:10,94,,,,,,,,,
,00:00:11,94,,,,,,,,,
,00:00:12,96,,,,,,,,,
,00:00:13,97,,,,,,,,,
,00:00:14,96,,,,,,,,,
,00:00:15,95,,,,,,,,,
,00:00:16,94,,,,,,,,,
,00:00:17,95,,,,,,,,,
,00:00:18,95,,,,,,,,,
,00:00:19,95,,,,,,,,,
,00:00:20,95,,,,,,,,,
,00:00:21,95,,,,,,,,,
,00:00:22,93,,,,,,,,,
,00:00:23,92,,,,,,,,,
,00:00:24,90,,,,,,,,,
,00:00:25,89,,,,,,,,,
,00:00:26,88,,,,,,,,,
,00:00:27,88,,,,,,,,,
,00:00:28,89,,,,,,,,,
,00:00:29,90,,,,,,,,,
,00:00:30,91,,,,,,,,,
,00:00:31,92,,,,,,,,,
,00:00:32,92,,,,,,,,,
,00:00:33,93,,,,,,,,,
,00:00:34,93,,,,,,,,,
,00:00:35,91,,,,,,,,,
,00:00:36,91,,,,,,,,,
,00:00:37,90,,,,,,,,,
,00:00:38,90,,,,,,,,,
,00:00:39,89,,,,,,,,,
,00:00:40,89,,,,,,,,,
,00:00:41,89,,,,,,,,,
,00:00:42,89,,,,,,,,,
,00:00:43,90,,,,,,,,,
,00:00:44,93,,,,,,,,,
,00:00:45,96,,,,,,,,,
,00:00:46,97,,,,,,,,,
,00:00:47,99,,,,,,,,,
,00:00:48,100,,,,,,,,,
,00:00:49,100,,,,,,,,,
,00:00:50,99,,,,,,,,,
,00:00:51,98,,,,,,,,,
,00:00:52,98,,,,,,,,,
,00:00:53,99,,,,,,,,,
,00:00:54,101,,,,,,,,,
,00:00:55,103,,,,,,,,,
,00:00:56,104,,,,,,,,,
,00:00:57,105,,,,,,,,,
,00:00:58,106,,,,,,,,,
,00:00:59,106,,,,,,,,,
,00:01:00,107,,,,,,,,,
,00:01:01,107,,,,,,,,,
,00:01:02,107,,,,,,,,,
,00:01:03,108,,,,,,,,,
,00:01:04,109,,,,,,,,,
,00:01:05,110,,,,,,,,,
,00:01:06,111,,,,,,,,,
,00:01:07,112,,,,,,,,,
,00:01:08,113,,,,,,,,,
,00:01:09,113,,,,,,,,,
,00:01:10,113,,,,,,,,,
,00:01:11,113,,,,,,,,,
,00:01:12,113,,,,,,,,,
,00:01:13,113,,,,,,,,,
,00:01:14,113,,,,,,,,,
,00:01:15,113,,,,,,,,,
,00:01:16,113,,,,,,,,,
,00:01:17,113,,,,,,,,,
,00:01:18,114,,,,,,,,,
,00:01:19,114,,,,,,,,,
,00:01:20,114,,,,,,,,,
,00:01:21,114,,,,,,,,,
,00:01:22,114,,,,,,,,,
,00:01:23,114,,,,,,,,,
,00:01:24,114,,,,,,,,,
,00:01:25,113,,,,,,,,,
,00:01:26,113,,,,,,,,,
,00:01:27,113,,,,,,,,,
,00:01:28,113,,,,,,,,,
,00:01:29,113,,,,,,,,,
,00:01:30,115,,,,,,,,,
,00:01:31,116,,,,,,,,,
,00:01:32,116,,,,,,,,,
,00:01:33,117,,,,,,,,,
,00:01:34,117,,,,,,,,,
,00:01:35,117,,,,,,,,,
,00:01:36,117,,,,,,,,,
,00:01:37,116,,,,,,,,,
,00:01:38,116,,,,,,,,,
,00:01:39,115,,,,,,,,,
,00:01:40,112,,,,,,,,,
,00:01:41,111,,,,,,,,,
,00:01:42,109,,,,,,,,,
,00:01:43,107,,,,,,,,,
,00:01:44,106,,,,,,,,,
,00:01:45,104,,,,,,,,,
,00:01:46,102,,,,,,,,,
,00:01:47,102,,,,,,,,,
,00:01:48,101,,,,,,,,,
,00:01:49,102,,,,,,,,,
,00:01:50,103,,,,,,,,,
