Name,Sport,Date,Start time,Duration,Total distance (km),Average heart rate (bpm),Average speed (km/h),Max speed (km/h),Average pace (min/km),Max pace (min/km),Calories,Fat percentage of calories(%),Average cadence (rpm),Average stride length (cm),Running index,Training load,Ascent (m),Descent (m),Average power (W),Max power (W),Notes,Height (cm),Weight (kg),HR max,HR sit,VO2max,
Anton Antonov  ,BOOTCAMP,19-12-2025,10:25:58,0:40:26,0.00,148,,,,,495,,,,,,,,,,"8 rounds
250m run
5 devils press @ 25kg
10 lunges @ 25kg db
15 disk hang to overhead @ 25kg
10 A jumps

time: 29:54",None,None,187,,,
Sample rate,Time,HR (bpm),Speed (km/h),Pace (min/km),Cadence,Altitude (m),Stride length (m),Distances (m),Temperatures (C),Power (W),
1,00:00:01,84,,,,,,,,,
,00:00:02,84,,,,,,,,,
,00:00:03,83,,,,,,,,,
,00:00:04,83,,,,,,,,,
,00:00:05,84,,,,,,,,,
,00:00:06,84,,,,,,,,,
,00:00:07,86,,,,,,,,,
,00:00:08,87,,,,,,,,,
,00:00:09,87,,,,,,,,,
,00:00:10,86,,,,,,,,,
,00:00:11,87,,,,,,,,,
,00:00:12,88,,,,,,,,,
,00:00:13,90,,,,,,,,,
,00:00:14,92,,,,,,,,,
,00:00:15,93,,,,,,,,,
,00:00:16,95,,,,,,,,,
,00:00:17,97,,,,,,,,,
,00:00:18,98,,,,,,,,,
,00:00:19,99,,,,,,,,,
,00:00:20,100,,,,,,,,,
,00:00:21,99,,,,,,,,,
,00:00:22,98,,,,,,,,,
,00:00:23,97,,,,,,,,,
,00:00:24,96,,,,,,,,,
,00:00:25,95,,,,,,,,,
,00:00:26,94,,,,,,,,,
,00:00:27,86,,,,,,,,,
,00:00:28,84,,,,,,,,,
,00:00:29,83,,,,,,,,,
,00:00:30,85,,,,,,,,,
,00:00:31,88,,,,,,,,,
,00:00:32,89,,,,,,,,,
,00:00:33,90,,,,,,,,,
,00:00:34,91,,,,,,,,,
,00:00:35,91,,,,,,,,,
,00:00:36,82,,,,,,,,,
,00:00:37,77,,,,,,,,,
,00:00:38,76,,,,,,,,,
,00:00:39,75,,,,,,,,,
,00:00:40,75,,,,,,,,,
,00:00:41,77,,,,,,,,,
,00:00:42,83,,,,,,,,,
,00:00:43,85,,,,,,,,,
,00:00:44,88,,,,,,,,,
,00:00:45,89,,,,,,,,,
,00:00:46,92,,,,,,,,,
,00:00:47,92,,,,,,,,,
,00:00:48,89,,,,,,,,,
,00:00:49,87,,,,,,,,,
,00:00:50,86,,,,,,,,,
,00:00:51,84,,,,,,,,,
,00:00:52,83,,,,,,,,,
,00:00:53,83,,,,,,,,,
,00:00:54,83,,,,,,,,,
,00:00:55,82,,,,,,,,,
,00:00:56,86,,,,,,,,,
,00:00:57,87,,,,,,,,,
,00:00:58,89,,,,,,,,,
,00:00:59,91,,,,,,,,,
,00:01:00,92,,,,,,,,,
,00:01:01,96,,,,,,,,,
,00:01:02,96,,,,,,,,,
,00:01:03,96,,,,,,,,,
,00:01:04,96,,,,,,,,,
,00:01:05,97,,,,,,,,,
,00:01:06,97,,,,,,,,,
,00:01:07,98,,,,,,,,,
,00:01:08,99,,,,,,,,,
,00:01:09,99,,,,,,,,,
,00:01:10,99,,,,,,,,,
,00:01:11,99,,,,,,,,,
,00:01:12,99,,,,,,,,,
,00:01:13,99,,,,,,,,,
,00:01:14,99,,,,,,,,,
,00:01:15,99,,,,,,,,,
,00:01:16,99,,,,,,,,,
,00:01:17,99,,,,,,,,,
,00:01:18,100,,,,,,,,,
,00:01:19,99,,,,,,,,,
,00:01:20,99,,,,,,,,,
,00:01:21,99,,,,,,,,,
,00:01:22,98,,,,,,,,,
,00:01:23,98,,,,,,,,,
,00:01:24,98,,,,,,,,,
,00:01:25,98,,,,,,,,,
,00:01:26,98,,,,,,,,,
,00:01:27,100,,,,,,,,,
,00:01:28,101,,,,,,,,,
,00:01:29,102,,,,,,,,,
,00:01:30,102,,,,,,,,,
,00:01:31,102,,,,,,,,,
,00:01:32,102,,,,,,,,,
,00:01:33,102,,,,,,,,,
,00:01:34,102,,,,,,,,,
,00:01:35,102,,,,,,,,,
,00:01:36,103,,,,,,,,,
,00:01:37,104,,,,,,,,,
,00:01:38,107,,,,,,,,,
,00:01:39,109,,,,,,,,,
,00:01:40,110,,,,,,,,,
,00:01:41,111,,,,,,,,,
,00:01:42,111,,,,,,,,,
,00:01:43,112,,,,,,,,,
,00:01:44,112,,,,,,,,,
,00:01:45,113,,,,,,,,,
,00:01:46,113,,,,,,,,,
,00:01:47,113,,,,,,,,,
,00:01:48,112,,,,,,,,,
,00:01:49,106,,,,,,,,,
,00:01:50,96,,,,,,,,,
,00:01:51,89,,,,,,,,,
,00:01:52,89,,,,,,,,,
,00:01:53,87,,,,,,,,,
,00:01:54,86,,,,,,,,,
,00:01:55,86,,,,,,,,,
,00:01:56,88,,,,,,,,,
,00:01:57,93,,,,,,,,,
,00:01:58,98,,,,,,,,,
,00:01:59,101,,,,,,,,,
,00:02:00,104,,,,,,,,,
,00:02:01,105,,,,,,,,,
,00:02:02,106,,,,,,,,,
,00:02:03,106,,,,,,,,,
,00:02:04,106,,,,,,,,,
,00:02:05,106,,,,,,,,,
,00:02:06,106,,,,,,,,,
,00:02:07,106,,,,,,,,,
,00:02:08,106,,,,,,,,,
,00:02:09,106,,,,,,,,,
,00:02:10,107,,,,,,,,,
,00:02:11,107,,,,,,,,,
,00:02:12,107,,,,,,,,,
,00:02:13,106,,,,,,,,,
,00:02:14,104,,,,,,,,,
,00:02:15,103,,,,,,,,,
,00:02:16,102,,,,,,,,,
,00:02:17,102,,,,,,,,,
,00:02:18,103,,,,,,,,,
,00:02:19,103,,,,,,,,,
,00:02:20,104,,,,,,,,,
,00:02:21,104,,,,,,,,,
,00:02:22,104,,,,,,,,,
,00:02:23,104,,,,,,,,,
,00:02:24,104,,,,,,,,,
,00:02:25,104,,,,,,,,,
,00:02:26,105,,,,,,,,,
,00:02:27,106,,,,,,,,,
,00:02:28,109,,,,,,,,,
,00:02:29,113,,,,,,,,,
,00:02:30,118,,,,,,,,,
,00:02:31,119,,,,,,,,,
,00:02:32,122,,,,,,,,,
,00:02:33,124,,,,,,,,,
,00:02:34,126,,,,,,,,,
,00:02:35,126,,,,,,,,,
,00:02:36,127,,,,,,,,,
,00:02:37,128,,,,,,,,,
,00:02:38,129,,,,,,,,,
,00:02:39,129,,,,,,,,,
,00:02:40,129,,,,,,,,,
,00:02:41,128,,,,,,,,,
,00:02:42,128,,,,,,,,,
,00:02:43,128,,,,,,,,,
,00:02:44,127,,,,,,,,,
,00:02:45,127,,,,,,,,,
,00:02:46,127,,,,,,,,,
,00:02:47,126,,,,,,,,,
,00:02:48,127,,,,,,,,,
,00:02:49,127,,,,,,,,,
,00:02:50,127,,,,,,,,,
,00:02:51,128,,,,,,,,,
,00:02:52,128,,,,,,,,,
,00:02:53,129,,,,,,,,,
,00:02:54,129,,,,,,,,,
,00:02:55,129,,,,,,,,,
,00:02:56,130,,,,,,,,,
,00:02:57,131,,,,,,,,,
,00:02:58,131,,,,,,,,,
,00:02:59,132,,,,,,,,,
,00:03:00,133,,,,,,,,,
,00:03:01,134,,,,,,,,,
,00:03:02,135,,,,,,,,,
,00:03:03,136,,,,,,,,,
,00:03:04,136,,,,,,,,,
,00:03:05,136,,,,,,,,,
,00:03:06,138,,,,,,,,,
,00:03:07,139,,,,,,,,,
,00:03:08,139,,,,,,,,,
,00:03:09,141,,,,,,,,,
,00:03:10,142,,,,,,,,,
,00:03:11,142,,,,,,,,,
,00:03:12,142,,,,,,,,,
,00:03:13,142,,,,,,,,,
,00:03:14,143,,,,,,,,,
,00:03:15,142,,,,,,,,,
,00:03:16,142,,,,,,,,,
,00:03:17,142,,,,,,,,,
,00:03:18,142,,,,,,,,,
,00:03:19,142,,,,,,,,,
,00:03:20,140,,,,,,,,,
,00:03:21,139,,,,,,,,,
,00:03:22,138,,,,,,,,,
,00:03:23,137,,,,,,,,,
,00:03:24,135,,,,,,,,,
,00:03:25,134,,,,,,,,,
,00:03:26,134,,,,,,,,,
,00:03:27,134,,,,,,,,,
,00:03:28,134,,,,,,,,,
,00:03:29,134,,,,,,,,,
,00:03:30,134,,,,,,,,,
,00:03:31,134,,,,,,,,,
,00:03:32,134,,,,,,,,,
,00:03:33,134,,,,,,,,,
,00:03:34,133,,,,,,,,,
,00:03:35,131,,,,,,,,,
,00:03:36,129,,,,,,,,,
,00:03:37,127,,,,,,,,,
,00:03:38,125,,,,,,,,,
,00:03:39,124,,,,,,,,,
,00:03:40,121,,,,,,,,,
,00:03:41,119,,,,,,,,,
,00:03:42,118,,,,,,,,,
,00:03:43,118,,,,,,,,,
,00:03:44,118,,,,,,,,,
,00:03:45,118,,,,,,,,,
,00:03:46,117,,,,,,,,,
,00:03:47,116,,,,,,,,,
,00:03:48,116,,,,,,,,,
,00:03:49,115,,,,,,,,,
,00:03:50,115,,,,,,,,,
,00:03:51,114,,,,,,,,,
,00:03:52,113,,,,,,,,,
,00:03:53,111,,,,,,,,,
,00:03:54,110,,,,,,,,,
,00:03:55,110,,,,,,,,,
,00:03:56,111,,,,,,,,,
,00:03:57,111,,,,,,,,,
,00:03:58,110,,,,,,,,,
,00:03:59,110,,,,,,,,,
,00:04:00,109,,,,,,,,,
,00:04:01,108,,,,,,,,,
,00:04:02,107,,,,,,,,,
,00:04:03,106,,,,,,,,,
,00:04:04,106,,,,,,,,,
,00:04:05,106,,,,,,,,,
,00:04:06,107,,,,,,,,,
,00:04:07,107,,,,,,,,,
,00:04:08,107,,,,,,,,,
,00:04:09,103,,,,,,,,,
,00:04:10,100,,,,,,,,,
,00:04:11,97,,,,,,,,,
,00:04:12,98,,,,,,,,,
,00:04:13,99,,,,,,,,,
,00:04:14,99,,,,,,,,,
,00:04:15,99,,,,,,,,,
,00:04:16,98,,,,,,,,,
,00:04:17,97,,,,,,,,,
,00:04:18,97,,,,,,,,,
,00:04:19,97,,,,,,,,,
,00:04:20,97,,,,,,,,,
,00:04:21,101,,,,,,,,,
,00:04:22,101,,,,,,,,,
,00:04:23,103,,,,,,,,,
,00:04:24,106,,,,,,,,,
,00:04:25,107,,,,,,,,,
,00:04:26,108,,,,,,,,,
,00:04:27,107,,,,,,,,,
,00:04:28,106,,,,,,,,,
,00:04:29,105,,,,,,,,,
,00:04:30,103,,,,,,,,,
,00:04:31,103,,,,,,,,,
,00:04:32,104,,,,,,,,,
,00:04:33,106,,,,,,,,,
