Name,Sport,Date,Start time,Duration,Total distance (km),Average heart rate (bpm),Average speed (km/h),Max speed (km/h),Average pace (min/km),Max pace (min/km),Calories,Fat percentage of calories(%),Average cadence (rpm),Average stride length (cm),Running index,Training load,Ascent (m),Descent (m),Average power (W),Max power (W),Notes,Height (cm),Weight (kg),HR max,HR sit,VO2max,
Anton Antonov  ,BOOTCAMP,23-12-2025,20:50:50,0:11:08,0.00,104,,,,,65,,,,,,,,,,"200 push ups
10 rounds of 20
time: 6:32min",None,None,126,,,
Sample rate,Time,HR (bpm),Speed (km/h),Pace (min/km),Cadence,Altitude (m),Stride length (m),Distances (m),Temperatures (C),Power (W),
1,00:00:01,71,,,,,,,,,
,00:00:02,71,,,,,,,,,
,00:00:03,71,,,,,,,,,
,00:00:04,71,,,,,,,,,
,00:00:05,71,,,,,,,,,
,00:00:06,71,,,,,,,,,
,00:00:07,72,,,,,,,,,
,00:00:08,72,,,,,,,,,
,00:00:09,72,,,,,,,,,
,00:00:10,73,,,,,,,,,
,00:00:11,73,,,,,,,,,
,00:00:12,73,,,,,,,,,
,00:00:13,75,,,,,,,,,
,00:00:14,80,,,,,,,,,
,00:00:15,80,,,,,,,,,
,00:00:16,80,,,,,,,,,
,00:00:17,80,,,,,,,,,
,00:00:18,81,,,,,,,,,
,00:00:19,81,,,,,,,,,
,00:00:20,81,,,,,,,,,
,00:00:21,81,,,,,,,,,
,00:00:22,82,,,,,,,,,
,00:00:23,82,,,,,,,,,
,00:00:24,83,,,,,,,,,
,00:00:25,83,,,,,,,,,
,00:00:26,82,,,,,,,,,
,00:00:27,82,,,,,,,,,
,00:00:28,82,,,,,,,,,
,00:00:29,83,,,,,,,,,
,00:00:30,86,,,,,,,,,
,00:00:31,88,,,,,,,,,
,00:00:32,88,,,,,,,,,
,00:00:33,86,,,,,,,,,
,00:00:34,86,,,,,,,,,
,00:00:35,85,,,,,,,,,
,00:00:36,84,,,,,,,,,
,00:00:37,84,,,,,,,,,
,00:00:38,84,,,,,,,,,
,00:00:39,87,,,,,,,,,
,00:00:40,91,,,,,,,,,
,00:00:41,93,,,,,,,,,
,00:00:42,96,,,,,,,,,
,00:00:43,98,,,,,,,,,
,00:00:44,100,,,,,,,,,
,00:00:45,100,,,,,,,,,
,00:00:46,101,,,,,,,,,
,00:00:47,102,,,,,,,,,
,00:00:48,102,,,,,,,,,
,00:00:49,103,,,,,,,,,
,00:00:50,104,,,,,,,,,
,00:00:51,104,,,,,,,,,
,00:00:52,104,,,,,,,,,
,00:00:53,104,,,,,,,,,
,00:00:54,103,,,,,,,,,
,00:00:55,102,,,,,,,,,
,00:00:56,100,,,,,,,,,
,00:00:57,92,,,,,,,,,
,00:00:58,90,,,,,,,,,
,00:00:59,90,,,,,,,,,
,00:01:00,91,,,,,,,,,
,00:01:01,92,,,,,,,,,
,00:01:02,93,,,,,,,,,
